added_at,track_name,artists,album,track_id,spotify_url
2026-02-24T03:35:46Z,first take,Travis Scott,Birds In The Trap Sing McKnight,6wwruKU956ldDyz55DZTt1,https://open.spotify.com/track/6wwruKU956ldDyz55DZTt1
2026-02-17T02:16:05Z,Friend Zone,A Boogie Wit da Hoodie,Artist,3W0Fvft7V7MtSftTrC8MSQ,https://open.spotify.com/track/3W0Fvft7V7MtSftTrC8MSQ
2025-10-27T18:28:40Z,With That (feat. Duke),"Young Thug, Duke",Barter 6,6o4nVtywF4F75RkOcDxrtd,https://open.spotify.com/track/6o4nVtywF4F75RkOcDxrtd
2025-10-18T00:26:46Z,"Black Hippie, White Hipster","Young Nudy, Pi’erre Bourne",Sli'merre,6PkgAqFSFbEWriHFjr1OL6,https://open.spotify.com/track/6PkgAqFSFbEWriHFjr1OL6
2025-10-07T02:03:11Z,Apple Pie,Travis Scott,Rodeo,6scpNkWEmUxmKY7nYjVLsX,https://open.spotify.com/track/6scpNkWEmUxmKY7nYjVLsX
2025-09-13T18:24:14Z,Provider,Frank Ocean,Provider,6R6ihJhRbgu7JxJKIbW57w,https://open.spotify.com/track/6R6ihJhRbgu7JxJKIbW57w
2025-08-23T20:48:40Z,asmr,21 Savage,i am > i was,2QgfDF0fQ4sskDthP8MG5w,https://open.spotify.com/track/2QgfDF0fQ4sskDthP8MG5w
2025-08-18T18:11:28Z,Almighty (feat. HoodRich Pablo Juan),"Gunna, HoodRich Pablo Juan",Drip Season 3 (Deluxe),7tjXeAUgZEe2yE6nSOcqWA,https://open.spotify.com/track/7tjXeAUgZEe2yE6nSOcqWA
2025-08-17T21:48:16Z,They Wanna Have Fun,"Metro Boomin, Travis Porter, Young Dro, Gucci Mane, DJ Spinz",Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz),7c2TmvPFi0AG5Vbw21XovM,https://open.spotify.com/track/7c2TmvPFi0AG5Vbw21XovM
2025-08-16T00:52:30Z,prototype,Gunna,The Last Wun,5Jo3oFBD4pM7eaaRjV8Bda,https://open.spotify.com/track/5Jo3oFBD4pM7eaaRjV8Bda
